G,Date,Tm,away,Opp,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,PF,PTS,GmSc,+/-,name,pos
1.0,2022-10-18,PHI,1,BOS,0,0:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Steven Adams,C
2.0,2022-10-20,PHI,0,MIL,0,0:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,Steven Adams,C
3.0,2022-10-22,PHI,0,SAS,0,3:14,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3.0,Steven Adams,C
4.0,2022-10-24,PHI,0,IND,0,2:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,Steven Adams,C
,2022-10-26,PHI,1,TOR,Did Not Play,,,,,,,,,,,,,Steven Adams,C
5.0,2022-10-28,PHI,1,TOR,0,21:48,2.0,6.0,2.0,5.0,0.0,0.0,1.0,0.0,6.0,8.4,1.0,Steven Adams,C
6.0,2022-10-29,PHI,1,CHI,0,20:34,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.8,2.0,Steven Adams,C
7.0,2022-10-31,PHI,1,WAS,0,16:29,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.6,5.0,Steven Adams,C
8.0,2022-11-02,PHI,0,WAS,1,15:42,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.2,4.0,Steven Adams,C
9.0,2022-11-04,PHI,0,NYK,0,13:03,2.0,5.0,0.0,2.0,0.0,0.0,1.0,4.0,4.0,2.7,-10.0,Steven Adams,C
10.0,2022-11-07,PHI,0,PHO,0,10:31,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,Steven Adams,C
11.0,2022-11-10,PHI,1,ATL,0,8:21,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.8,6.0,Steven Adams,C
12.0,2022-11-12,PHI,0,ATL,1,29:52,1.0,5.0,1.0,4.0,0.0,0.0,0.0,2.0,3.0,0.7,15.0,Steven Adams,C
13.0,2022-11-13,PHI,0,UTA,1,27:27,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,9.5,18.0,Steven Adams,C
14.0,2022-11-18,PHI,0,MIL,0,4:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-7.0,Steven Adams,C
15.0,2022-11-19,PHI,0,MIN,0,4:56,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-6.0,Steven Adams,C
16.0,2022-11-22,PHI,0,BRK,0,3:22,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.3,-5.0,Steven Adams,C
,2022-11-23,PHI,1,CHO,Did Not Dress,,,,,,,,,,,,,Steven Adams,C
,2022-11-25,PHI,1,ORL,Inactive,,,,,,,,,,,,,Steven Adams,C
,2022-11-27,PHI,1,ORL,Inactive,,,,,,,,,,,,,Steven Adams,C
17.0,2022-11-28,PHI,0,ATL,0,7:34,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.6,12.0,Steven Adams,C
18.0,2022-11-30,PHI,1,CLE,0,18:16,1.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.4,4.0,Steven Adams,C
19.0,2022-12-02,PHI,1,MEM,0,13:01,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.1,0.0,Steven Adams,C
20.0,2022-12-05,PHI,1,HOU,0,7:10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,-2.0,Steven Adams,C
21.0,2022-12-09,PHI,0,LAL,0,13:25,4.0,7.0,1.0,3.0,0.0,0.0,0.0,3.0,9.0,7.2,11.0,Steven Adams,C
22.0,2022-12-11,PHI,0,CHO,0,12:46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-0.8,1.0,Steven Adams,C
23.0,2022-12-13,PHI,0,SAC,1,22:23,5.0,7.0,3.0,4.0,2.0,3.0,0.0,4.0,15.0,10.7,11.0,Steven Adams,C
24.0,2022-12-16,PHI,0,GSW,1,21:10,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,3.6,5.0,Steven Adams,C
25.0,2022-12-19,PHI,0,TOR,0,6:48,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.3,-4.0,Steven Adams,C
26.0,2022-12-21,PHI,0,DET,0,13:02,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.4,14.0,Steven Adams,C
27.0,2022-12-23,PHI,0,LAC,0,0:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,Steven Adams,C
28.0,2022-12-25,PHI,1,NYK,0,3:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-1.0,Steven Adams,C
29.0,2022-12-27,PHI,1,WAS,0,4:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,-3.0,Steven Adams,C
30.0,2022-12-30,PHI,1,NOP,0,7:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2,-4.0,Steven Adams,C
31.0,2022-12-31,PHI,1,OKC,1,21:36,3.0,3.0,3.0,3.0,0.0,0.0,0.0,5.0,9.0,6.4,22.0,Steven Adams,C
32.0,2023-01-02,PHI,0,NOP,0,8:01,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.4,12.0,Steven Adams,C
33.0,2023-01-04,PHI,0,IND,0,21:26,2.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,4.0,14.0,Steven Adams,C
34.0,2023-01-06,PHI,0,CHI,0,11:43,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.4,-13.0,Steven Adams,C
35.0,2023-01-08,PHI,1,DET,0,22:56,2.0,6.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,7.9,2.0,Steven Adams,C
36.0,2023-01-10,PHI,0,DET,0,9:37,2.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,4.3,-16.0,Steven Adams,C
37.0,2023-01-12,PHI,0,OKC,0,10:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,-27.0,Steven Adams,C
38.0,2023-01-14,PHI,1,UTA,0,20:27,1.0,3.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,1.4,1.0,Steven Adams,C
39.0,2023-01-15,PHI,1,LAL,0,9:53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,2.0,Steven Adams,C
40.0,2023-01-17,PHI,1,LAC,0,8:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7,0.0,Steven Adams,C
41.0,2023-01-19,PHI,1,POR,0,16:55,1.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.1,5.0,Steven Adams,C
42.0,2023-01-21,PHI,1,SAC,0,13:03,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.1,3.0,Steven Adams,C
43.0,2023-01-25,PHI,0,BRK,0,12:11,3.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,10.0,12.0,-2.0,Steven Adams,C
44.0,2023-01-28,PHI,0,DEN,0,12:13,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.4,10.0,Steven Adams,C
45.0,2023-01-30,PHI,0,ORL,0,11:19,3.0,5.0,2.0,3.0,2.0,2.0,0.0,0.0,10.0,11.4,6.0,Steven Adams,C
46.0,2023-02-01,PHI,0,ORL,0,9:30,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.6,7.0,Steven Adams,C
47.0,2023-02-03,PHI,1,SAS,0,15:52,2.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,13.0,Steven Adams,C
48.0,2023-02-05,PHI,1,NYK,0,10:05,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.9,-17.0,Steven Adams,C
49.0,2023-02-08,PHI,1,BOS,0,9:55,1.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.8,-4.0,Steven Adams,C
,2023-02-10,POR,0,OKC,Inactive,,,,,,,,,,,,,Steven Adams,C
50.0,2023-02-13,POR,0,LAL,1,26:29,5.0,9.0,4.0,6.0,0.0,0.0,1.0,2.0,14.0,14.6,11.0,Steven Adams,C
51.0,2023-02-14,POR,0,WAS,1,30:09,1.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,2.0,-2.0,Steven Adams,C
52.0,2023-02-23,POR,1,SAC,1,26:49,2.0,5.0,1.0,2.0,0.0,1.0,0.0,3.0,5.0,4.3,-3.0,Steven Adams,C
