G,Date,Tm,away,Opp,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,PF,PTS,GmSc,+/-,name,pos,day,TA,played,last_MP,last_3_game_MP_avg,last_2_game_MP_diff,last_4_game_MP_diff,last_PTS,last_3_game_PTS_avg,last_2_game_PTS_diff,last_4_game_PTS_diff,last_TA,last_3_game_TA_avg,last_2_game_TA_diff,last_4_game_TA_diff,last_GmSc,last_3_game_GmSc_avg,last_2_game_GmSc_diff,last_4_game_GmSc_diff,last_+/-,last_3_game_+/-_avg,last_2_game_+/-_diff,last_4_game_+/-_diff
1.0,2022-10-18,PHI,1,BOS,0,23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Steven Adams,C,Tuesday,0.0,1,,,,,,,,,,,,,,,,,,,,
2.0,2022-10-20,PHI,0,MIL,0,18000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,Steven Adams,C,Thursday,0.0,1,23000.0,,,,0.0,,,,0.0,,,,0.0,,,,-1.0,,,
3.0,2022-10-22,PHI,0,SAS,0,194000,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3.0,Steven Adams,C,Saturday,2.0,1,18000.0,,-5000.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,-3.0,,-2.0,
4.0,2022-10-24,PHI,0,IND,0,120000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,Steven Adams,C,Monday,0.0,1,194000.0,78333.33333333333,176000.0,,0.0,0.0,0.0,,2.0,0.6666666666666666,2.0,,-0.7,-0.2333333333333333,-0.7,,-3.0,-2.3333333333333335,0.0,
,2022-10-26,PHI,1,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,Steven Adams,C,Wednesday,00,0,120000.0,110666.66666666667,-74000.0,97000.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-2.0,0.0,0.0,-0.2333333333333333,0.7,0.0,-4.0,-3.3333333333333335,-1.0,-3.0
5.0,2022-10-28,PHI,1,TOR,0,1308000,2.0,6.0,2.0,5.0,0.0,0.0,1.0,0.0,6.0,8.4,1.0,Steven Adams,C,Friday,11.0,1,0.0,104666.66666666667,-120000.0,-18000.0,0,0.0,0.0,0.0,00,0.6666666666666666,0.0,0.0,0,-0.2333333333333333,0.0,0.0,0,-2.3333333333333335,4.0,3.0
6.0,2022-10-29,PHI,1,CHI,0,1234000,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.8,2.0,Steven Adams,C,Saturday,2.0,1,1308000.0,476000.0,1308000.0,1114000.0,6.0,2.0,6.0,6.0,11.0,3.6666666666666665,11.0,9.0,8.4,2.8000000000000003,8.4,9.1,1.0,-1.0,1.0,4.0
7.0,2022-10-31,PHI,1,WAS,0,989000,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.6,5.0,Steven Adams,C,Monday,2.0,1,1234000.0,847333.3333333334,-74000.0,1114000.0,2.0,2.6666666666666665,-4.0,2.0,2.0,4.333333333333333,-9.0,2.0,0.8,3.066666666666667,-7.6000000000000005,0.7999999999999998,2.0,1.0,1.0,6.0
8.0,2022-11-02,PHI,0,WAS,1,942000,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.2,4.0,Steven Adams,C,Wednesday,2.0,1,989000.0,1177000.0,-245000.0,989000.0,1.0,3.0,-1.0,1.0,2.0,5.0,0.0,2.0,1.6,3.6,0.8,1.5999999999999996,5.0,2.6666666666666665,3.0,5.0
9.0,2022-11-04,PHI,0,NYK,0,783000,2.0,5.0,0.0,2.0,0.0,0.0,1.0,4.0,4.0,2.7,-10.0,Steven Adams,C,Friday,7.0,1,942000.0,1055000.0,-47000.0,-366000.0,2.0,1.6666666666666667,1.0,-4.0,2.0,2.0,0.0,-9.0,2.2,1.5333333333333334,0.6000000000000001,-6.2,4.0,3.6666666666666665,-1.0,3.0
