Name,Underdog Points,Model Points,Differential,Pos/Neg
P.J. Tucker,4.0,22.34,18.34,+
Jeff Green,5.0,20.74,15.739999999999998,+
Al Horford,8.5,24.215,15.715,+
De'Anthony Melton,7.5,22.57,15.07,+
Marcus Smart,13.0,27.45,14.45,+
Malcolm Brogdon,14.5,27.285,12.785,+
Draymond Green,8.5,20.36,11.86,+
Kentavious Caldwell-Pope,9.5,20.645,11.145,+
Derrick White,12.5,23.415,10.915,+
Tobias Harris,13.5,24.36,10.86,+
Tyrese Maxey,18.5,29.14,10.64,+
Bruce Brown,10.5,20.52,10.02,+
D'Angelo Russell,15.5,25.395,9.895,+
Michael Porter Jr.,15.0,24.785,9.785,+
Andrew Wiggins,17.0,26.57,9.57,+
Deandre Ayton,12.5,21.74,9.239999999999998,+
James Harden,21.5,29.48,7.98,+
Bam Adebayo,17.5,25.475,7.975000000000001,+
Aaron Gordon,14.5,21.985,7.484999999999999,+
Austin Reaves,31.0,27.27,3.7300000000000004,-
LeBron James,25.5,28.87,3.370000000000001,+
Klay Thompson,22.5,25.59,3.09,+
Jamal Murray,25.5,28.44,2.9400000000000013,+
Jalen Brunson,25.5,28.425,2.9250000000000007,+
Devin Booker,31.5,28.925,2.5749999999999993,-
Jaylen Brown,24.5,26.845,2.344999999999999,+
Kevin Durant,31.0,29.02,1.9800000000000004,-
Nikola Jokic,30.5,29.1,1.3999999999999986,-
Anthony Davis,24.5,25.665,1.1649999999999991,+
Jayson Tatum,28.5,27.535,0.9649999999999999,-
Joel Embiid,28.5,29.46,0.9600000000000009,+
Jimmy Butler,27.5,27.66,0.16000000000000014,+
